task_id,tag_id
48695218-45c7-4d7b-9fc7-e0b872db46f4,9883816c-0133-4c43-b838-071884250825
35352ab8-53e0-423a-9507-7f3216099af2,9883816c-0133-4c43-b838-071884250825
c5585a13-cad7-444b-8e1c-ac35b99f5b93,9883816c-0133-4c43-b838-071884250825
8e37bcaf-703f-4d20-90b4-db0e6ae3480f,9883816c-0133-4c43-b838-071884250825
d9e67877-e137-40b9-9d89-dafc0d7fad11,9883816c-0133-4c43-b838-071884250825
bbfb8066-039f-4fdd-9b40-e3b5214a459d,9883816c-0133-4c43-b838-071884250825
6b905577-330b-4f74-8c1d-f662d35457c6,9883816c-0133-4c43-b838-071884250825
b9ffbcf7-0254-4067-9fc0-d238a82bdc5e,9883816c-0133-4c43-b838-071884250825
1d22bc69-401f-44b9-ad41-dde17d83a951,9883816c-0133-4c43-b838-071884250825
1e39a2b7-41e7-469b-8cea-4c63490f74c8,9883816c-0133-4c43-b838-071884250825
d758c407-2368-4124-8110-228d0410e97c,9883816c-0133-4c43-b838-071884250825
decf682c-28b1-4e93-8940-75af80d1e08b,9883816c-0133-4c43-b838-071884250825
4a125a77-466f-4640-8f47-2a9a822fedf6,9883816c-0133-4c43-b838-071884250825
6f487c81-400d-43df-adcd-45d25d396bf5,9883816c-0133-4c43-b838-071884250825
8513b1c8-1517-4307-ae06-95e6946654c1,9883816c-0133-4c43-b838-071884250825
90123340-07ab-4105-a7ec-03200d8d4846,9883816c-0133-4c43-b838-071884250825
fb7c2230-786d-45eb-8960-8c392d95d066,9883816c-0133-4c43-b838-071884250825
e411d0a8-ebc2-4f96-a620-b52fc1f4a305,9883816c-0133-4c43-b838-071884250825
0e0fa42e-90bc-4315-a953-c4a3fc54956b,9883816c-0133-4c43-b838-071884250825
136fd0ab-aa91-44de-97eb-9d83effc4714,9883816c-0133-4c43-b838-071884250825
a129bc5e-4e99-4936-bc1d-4f47d16b502f,626e824b-9ec0-42c1-a5fc-4d6ee58fe262
4993fea4-b836-4db7-a3f6-45418432db9e,626e824b-9ec0-42c1-a5fc-4d6ee58fe262
e8911cc3-3603-416b-a2c0-fa40a43ca414,626e824b-9ec0-42c1-a5fc-4d6ee58fe262
b76be499-4a1c-46bb-9737-dcabff7536f0,626e824b-9ec0-42c1-a5fc-4d6ee58fe262
51279743-9ecb-4be8-8caf-107dd785b0cc,626e824b-9ec0-42c1-a5fc-4d6ee58fe262
85e7e47d-18b5-4749-a568-68f50a82ce75,a5bca665-781a-48ac-bd9f-da5392217598
8f81baba-395a-457d-bcd2-07d5c31c5cea,a5bca665-781a-48ac-bd9f-da5392217598
49859287-55ec-4d34-8d37-680f2bc57186,a5bca665-781a-48ac-bd9f-da5392217598
b43f4266-fede-4b6a-adea-619eab455d0e,a5bca665-781a-48ac-bd9f-da5392217598
fd2c5022-47ab-4ce5-8fb9-66d70275d06f,a5bca665-781a-48ac-bd9f-da5392217598
4e04c122-96c5-4264-8336-6d6ec880881d,a5bca665-781a-48ac-bd9f-da5392217598
453bd570-cfc5-47f9-9000-237f540b3b0a,a5bca665-781a-48ac-bd9f-da5392217598
5694e36c-058c-4a76-96fc-7078c6bf0692,a5bca665-781a-48ac-bd9f-da5392217598
3796e81b-0cf6-4e85-8a46-3054ff5ff3d2,a5bca665-781a-48ac-bd9f-da5392217598
2a914aa2-1a2d-4403-ac51-0444c53e91f7,a5bca665-781a-48ac-bd9f-da5392217598
c20f20e3-dbd7-4bbc-a1b2-7f06b9eaf18a,a5bca665-781a-48ac-bd9f-da5392217598
499cf9ad-0c11-49d8-afa9-be08c7049e86,a5bca665-781a-48ac-bd9f-da5392217598
989cbc08-253c-4fed-8182-e735bc31e3e4,a5bca665-781a-48ac-bd9f-da5392217598
fca624b1-7d98-4888-95f3-3dfb4e0b1bec,a5bca665-781a-48ac-bd9f-da5392217598
302e20e0-d591-4101-b8d2-871e42835242,a5bca665-781a-48ac-bd9f-da5392217598
58cc8e30-2322-431e-9bca-1e6bd96ad682,a5bca665-781a-48ac-bd9f-da5392217598
8cbb0b39-72db-4794-84f0-683ce1ec7955,a5bca665-781a-48ac-bd9f-da5392217598
48695218-45c7-4d7b-9fc7-e0b872db46f4,20dc9d90-524f-4c1a-a39e-7acaeeeaabca
7472a58a-c527-4f7c-8148-bbd75cad5824,20dc9d90-524f-4c1a-a39e-7acaeeeaabca
45a79903-8bdd-4ce6-854c-9f371ac2f5cf,20dc9d90-524f-4c1a-a39e-7acaeeeaabca
1877695b-b052-4704-9d0e-34756dd40717,20dc9d90-524f-4c1a-a39e-7acaeeeaabca
2612150d-a825-4a6d-a15a-984e871bb35c,20dc9d90-524f-4c1a-a39e-7acaeeeaabca
6ecb9d58-70fb-44f9-ad16-f62c97d15b0f,20dc9d90-524f-4c1a-a39e-7acaeeeaabca
a94741df-a96e-42a4-855b-1e3b49fc3db4,20dc9d90-524f-4c1a-a39e-7acaeeeaabca
b8655ff1-55d8-471f-9149-d1e36d31234b,20dc9d90-524f-4c1a-a39e-7acaeeeaabca
35352ab8-53e0-423a-9507-7f3216099af2,833fe4f5-30d3-48b1-b83c-78cb52f28252
0f00e30d-b37f-4363-9a31-f3e8258be918,833fe4f5-30d3-48b1-b83c-78cb52f28252
b8bae795-b88d-46b3-ba61-3cb08a884517,833fe4f5-30d3-48b1-b83c-78cb52f28252
f88652ba-faf5-4e2b-b1fe-5f50d22d3394,833fe4f5-30d3-48b1-b83c-78cb52f28252
b9ffbcf7-0254-4067-9fc0-d238a82bdc5e,833fe4f5-30d3-48b1-b83c-78cb52f28252
063e4537-aed1-45ec-bb64-fb9d1c0e4a31,833fe4f5-30d3-48b1-b83c-78cb52f28252
22d4743d-0129-431d-9c62-cd2b1c546d0f,833fe4f5-30d3-48b1-b83c-78cb52f28252
b76be499-4a1c-46bb-9737-dcabff7536f0,833fe4f5-30d3-48b1-b83c-78cb52f28252
60348949-f2da-414c-8028-2aa6d31471df,833fe4f5-30d3-48b1-b83c-78cb52f28252
1d22bc69-401f-44b9-ad41-dde17d83a951,833fe4f5-30d3-48b1-b83c-78cb52f28252
504d2d81-5335-468c-b433-c9142bc4c93a,833fe4f5-30d3-48b1-b83c-78cb52f28252
3cbec687-ed04-4bef-9209-f0f1c596911f,833fe4f5-30d3-48b1-b83c-78cb52f28252
68f48f80-a44b-4b6a-a765-42a347acb5ed,833fe4f5-30d3-48b1-b83c-78cb52f28252
a941332e-552c-4a00-ae8c-56a3ff5d6268,833fe4f5-30d3-48b1-b83c-78cb52f28252
d0afff71-4217-47c4-ad19-7c00a6bb47e9,833fe4f5-30d3-48b1-b83c-78cb52f28252
0c1e6ddc-3670-491a-8fea-a39dae3ac238,833fe4f5-30d3-48b1-b83c-78cb52f28252
ee62a07e-5089-4076-901c-42ec9e7368bf,833fe4f5-30d3-48b1-b83c-78cb52f28252
e411d0a8-ebc2-4f96-a620-b52fc1f4a305,833fe4f5-30d3-48b1-b83c-78cb52f28252
48f4d81b-1f42-46e7-a94d-6a51ba8b000f,833fe4f5-30d3-48b1-b83c-78cb52f28252
6a89c459-80cf-48b3-8e86-6946450ab882,833fe4f5-30d3-48b1-b83c-78cb52f28252
51279743-9ecb-4be8-8caf-107dd785b0cc,833fe4f5-30d3-48b1-b83c-78cb52f28252
