id,name,color,created_at
9883816c-0133-4c43-b838-071884250825,High Priority,red,2024-10-01T08:00:00
626e824b-9ec0-42c1-a5fc-4d6ee58fe262,Bug,orange,2024-10-01T08:00:00
a5bca665-781a-48ac-bd9f-da5392217598,Feature,blue,2024-10-01T08:00:00
20dc9d90-524f-4c1a-a39e-7acaeeeaabca,Technical Debt,yellow,2024-10-01T08:00:00
833fe4f5-30d3-48b1-b83c-78cb52f28252,Security,purple,2024-10-01T08:00:00
1fb2a12f-f8d1-4d4d-9097-8cc99fca37ed,Performance,green,2024-10-01T08:00:00
1491010c-8ccd-4c55-a9ca-3d85efa5b1e9,Documentation,gray,2024-10-01T08:00:00
f3ce618b-8f4f-4ad3-9948-a1f881d9ef60,Blocked,red,2024-10-01T08:00:00
c06d07e5-9a5c-469a-bb6f-85792efbf417,Testing,cyan,2024-10-01T08:00:00
ea095606-c196-40ac-a461-28f7589db801,Design,pink,2024-10-01T08:00:00
885c3d39-c575-4a04-b4d1-80521afb6051,Refactor,brown,2024-10-01T08:00:00
d26dbd3f-8b74-45d2-883c-80ae0cb9007c,Migration,teal,2024-10-01T08:00:00
ced3dad6-0e5e-4f6b-8ba1-06a7111512a1,Research,indigo,2024-10-01T08:00:00
1b751e3f-d488-4660-acb9-d376fa0918b4,Quick Win,lime,2024-10-01T08:00:00
8754820f-3c2b-4ad3-94be-daf4e0b9772a,Customer Request,magenta,2024-10-01T08:00:00
01d65125-dc02-4752-b5e9-72bc2aba3557,High Priority,purple,2026-01-06T12:05:22.619916
38e450ca-cca5-4810-99c1-03d6090b567b,Medium Priority,blue,2026-01-06T12:05:22.619916
76b6d0e4-8102-427b-91d4-6b364a28a450,Low Priority,yellow,2026-01-06T12:05:22.619916
ff4ed96f-6a85-41b3-9144-eaf3b3f9facd,Blocked,gray,2026-01-06T12:05:22.619916
da528b8c-dc54-4d42-966b-36433c32a9ff,Needs Review,red,2026-01-06T12:05:22.619916
76469617-9046-45b8-babd-ce7944b80c7f,Ready,red,2026-01-06T12:05:22.619916
69a7ef83-4097-4926-9451-9ed984d94ca8,In Progress,teal,2026-01-06T12:05:22.619916
e38d8c3e-0f95-4146-bbe0-296590feec66,Bug,red,2026-01-06T12:05:22.619916
c1b358f5-2726-4413-93b4-fa8e50c27f44,Tech Debt,yellow,2026-01-06T12:05:22.619916
f3a1796b-bee1-4dd8-a2be-bd9d94817b59,Feature,teal,2026-01-06T12:05:22.619916
bceecd5f-30a8-4998-b173-cd3f4b248a97,Experiment,gray,2026-01-06T12:05:22.619916
af2a17ae-aa61-4453-ba91-88b4074b7da2,Follow-up,green,2026-01-06T12:05:22.619916
d72d1579-8f63-42d6-85d4-0ee7e9874f5b,Customer Request,yellow,2026-01-06T12:05:22.619916
21e1c946-cf75-4154-bce6-d079a024da4d,Internal,gray,2026-01-06T12:05:22.619916
6c02a39c-14ed-4799-8059-c049f1ae7ff7,SEO,orange,2026-01-06T12:05:22.619916
0ad6797f-ea68-4708-8a1a-d35058bae4cb,Content,pink,2026-01-06T12:05:22.619916
b9d397a4-bccc-4975-bced-235d9d21f452,Paid Ads,pink,2026-01-06T12:05:22.619916
5594bff6-f1af-4d13-868f-1a53baef4037,Email,green,2026-01-06T12:05:22.619916
