id,name,project_id
b0efab02-62d3-4a4b-9551-0053aa614345,In Progress,075354a5-7a0a-4adf-8c78-0e3c18c88324
b7168707-9eac-4f71-a2d3-ac3605cb117a,Code Review,075354a5-7a0a-4adf-8c78-0e3c18c88324
48d2defe-70e5-4623-8559-ee71764bd275,Done,075354a5-7a0a-4adf-8c78-0e3c18c88324
d3fe64d8-249e-46c3-8813-45a3beaee50a,Backlog,5b5653db-f483-4788-a2d9-0ecdd47f2615
9e017fb5-7d05-4cb1-b9ec-ee32d254e3bc,In Progress,5b5653db-f483-4788-a2d9-0ecdd47f2615
2610c908-13e6-4dd7-aa3d-dbbe89262990,Testing,5b5653db-f483-4788-a2d9-0ecdd47f2615
22888274-63b3-47a7-8173-297013c15a27,To Do,9b251c03-ad3a-4c26-8a95-6e3b165873f3
c53033c9-227a-44f2-b1e3-c6d42b854ebb,In Progress,9b251c03-ad3a-4c26-8a95-6e3b165873f3
b224e6ce-a952-48d6-be39-3420ec3b2a5d,Done,9b251c03-ad3a-4c26-8a95-6e3b165873f3
140c999b-de87-41c5-936d-ffe08eb54009,Design,62f7a4a7-f7a4-4607-841c-a0c671200b9f
ac27720a-e7b2-492e-af10-01806c94f459,Development,62f7a4a7-f7a4-4607-841c-a0c671200b9f
df8da608-f03b-4e28-a493-a8427e27d7e4,QA,62f7a4a7-f7a4-4607-841c-a0c671200b9f
57e4aefe-121c-4215-806e-d7ecb1aabf81,Backlog,43b8311a-e5df-430b-bd81-d506d5095c70
22df09e1-f5b1-417a-95b9-4d629f0b9728,In Progress,43b8311a-e5df-430b-bd81-d506d5095c70
2b7c94cc-be14-40b0-91e7-d7d2effc066c,Done,43b8311a-e5df-430b-bd81-d506d5095c70
8b3ea97d-ca44-4741-8ba6-2ec093d394ff,Planning,49921aa8-6586-4b93-bb80-66ea60bf7a49
f744278c-cce6-4811-b3dc-bdc1e6dca3c3,Implementation,49921aa8-6586-4b93-bb80-66ea60bf7a49
ec3eac03-1c41-4695-bf15-4fed9bcdb3d9,Deployed,49921aa8-6586-4b93-bb80-66ea60bf7a49
57b2dbd4-f1ad-47a7-ada8-71fd926a0220,Analysis,a362e16a-a8fb-4a7a-8b57-30f5ceaa8799
2606dbb9-f374-474a-b3b0-9e909deadb80,Migration,a362e16a-a8fb-4a7a-8b57-30f5ceaa8799
1b20e6e9-9dc8-4880-8020-39bf8f9afcf4,Validation,a362e16a-a8fb-4a7a-8b57-30f5ceaa8799
3d61160f-63b4-47ac-84bd-2b22fdb36e3c,Setup,1f02cc78-cda1-48a9-9a32-50e819166026
1cbef8be-3902-4c1c-adbe-9c0b42659813,Configuration,1f02cc78-cda1-48a9-9a32-50e819166026
54b8ae2b-12b2-44a9-8351-dcfb7d8af3ac,Documentation,1f02cc78-cda1-48a9-9a32-50e819166026
1fc90ffc-b542-49ef-afcf-961e9d20534b,Research,185bca69-8dfb-4102-a7bd-c2c8d8233edf
1058700f-1b79-4bd2-bbba-1fbb4bd31a3b,Prioritization,185bca69-8dfb-4102-a7bd-c2c8d8233edf
6882d095-83a8-4da8-a964-2bb931da2ea2,Approved,185bca69-8dfb-4102-a7bd-c2c8d8233edf
59019a11-8786-4c3f-8980-93e5f619b664,Interviews,7d0b63d2-a90c-4084-ab52-3b3ba94231d4
73984102-d8a2-4d42-a090-7a897fd3daeb,Analysis,7d0b63d2-a90c-4084-ab52-3b3ba94231d4
1627444f-f4c2-4bfc-bfea-67629aab7e99,Reports,7d0b63d2-a90c-4084-ab52-3b3ba94231d4
60ec9812-d72e-49e0-a892-7af96fbda1cc,Data Preparation,ed4c43d9-7b5c-44df-a52a-128e5988df30
70160b65-8c3f-4499-bedf-fa1f728eb08b,Model Training,ed4c43d9-7b5c-44df-a52a-128e5988df30
220d9437-e4ee-4ea1-8cb9-24532f1532be,Evaluation,ed4c43d9-7b5c-44df-a52a-128e5988df30
